,Year,Country of Origin (ISO),Country of Origin,Country of Resettlement (ISO),Country of Resettlement,Female 0-17,Female 18-59,Female 60+,Female (unknown age),Female Total,Male 0-17,Male 18-59,Male 60+,Male (unknown age),Male Total,Other/Unknown,Grand Total,Country of Origin Coordinates,Country of Resettlement Coordinates
0,2017,SYR,Syrian Arab Rep.,CHE,Switzerland,339.0,273.0,11.0,0.0,623.0,396.0,281.0,7.0,0.0,684.0,0.0,1307.0,,"[47.0, 8.0]"
1,2017,All others,All others,URY,Uruguay,2.0,6.0,0.0,0.0,8.0,3.0,4.0,1.0,0.0,8.0,0.0,16.0,,"[-33.0, -56.0]"
2,2017,All others,All others,AUS,Australia,134.0,167.0,6.0,0.0,307.0,108.0,154.0,2.0,0.0,264.0,0.0,571.0,,"[-27.0, 133.0]"
3,2017,AFG,Afghanistan,NZL,New Zealand,10.0,4.0,0.0,0.0,14.0,5.0,8.0,1.0,0.0,14.0,0.0,28.0,"[33.0, 65.0]","[-41.0, 174.0]"
4,2017,IRQ,Iraq,ITA,Italy,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,4.0,"[33.0, 44.0]","[42.8333, 12.8333]"
5,2017,SYR,Syrian Arab Rep.,CYP,Cyprus,1.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,6.0,,"[35.0, 33.0]"
6,2017,SOM,Somalia,AUS,Australia,25.0,72.0,3.0,0.0,100.0,32.0,39.0,0.0,0.0,71.0,0.0,171.0,"[10.0, 49.0]","[-27.0, 133.0]"
7,2017,COD,Dem. Rep. of the Congo,FRA,France,5.0,7.0,0.0,0.0,12.0,11.0,4.0,0.0,0.0,15.0,0.0,27.0,,"[46.0, 2.0]"
8,2017,All others,All others,CAN,Canada,240.0,205.0,9.0,0.0,454.0,242.0,208.0,5.0,0.0,455.0,0.0,909.0,,"[60.0, -95.0]"
9,2017,AFG,Afghanistan,FIN,Finland,2.0,1.0,1.0,0.0,4.0,3.0,4.0,0.0,0.0,7.0,0.0,11.0,"[33.0, 65.0]","[64.0, 26.0]"
